"Item Number","Manufacturer No.","Manufacturer","Description","Distributor","Distributor No.","Qty","Reference Designator","Cost","Datasheet","Part Notes","URL"
,"PCF8523TK/1,118","NXP Semiconductors","Real Time Clock REAL-TIME CLOCK (RTC) AND CALENDAR","Mouser","771-PCF8523TK/1118","1",,"$0.92","/MobileCatalog.aspx?page=376","","http://www.mouser.com/ProductDetail/NXP/PCF8523TK-1118/?qs=%2fha2pyFadujHIZzLgxdeD9zcpFCvZDBpSBToxIkSyTBZenNe35ZL5weDGnxSzK5V"
,"P8X32A-M44","Parallax","32-bit Microcontrollers - MCU QFN Pkg Propeller Chip","Mouser","619-P8X32A-M44","1",,"$7.99","","","http://www.mouser.com/ProductDetail/Parallax/P8X32A-M44/?qs=sGAEpiMZZMu6TJb8E8Cjr4L8KxI%2fIaCC"
,"AT24C512C-XHM-T","Atmel","EEPROM SERIAL EEPROM 512K (64K X 8) 2WIRE 1.7V","Mouser","556-AT24C512C-XHM-T","1",,"$1.76","http://www.mouser.com/ds/2/36/doc8720-65792.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=AT24C512C-XHM-Tvirtualkey99990000virtualkey556-AT24C512C-XHM-T"
,"ABMM-6.000MHZ-B2-T","ABRACON","Crystals 6.000MHz, 18pF 20ppm","Mouser","815-ABMM-6-B2-T","1",,"$1.12","http://www.mouser.com/ds/2/3/ABMM-40073.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=ABMM-6.000MHZ-B2-Tvirtualkey52750000virtualkey815-ABMM-6-B2-T"
,"FT232RQ-REEL","FTDI","USB Interface IC USB to Serial UART Enhanced IC QFN-32","Mouser","895-FT232RQ","1",,"$4.50","/MobileCatalog.aspx?page=53","","http://www.mouser.com/Search/ProductDetail.aspx?R=FT232RQ-REELvirtualkey62130000virtualkey895-FT232RQ"
,"DM3AT-SF-PEJM5","Hirose Connector","Memory Card Connectors R/A SMT MICROSD CON PUSH-PUSH TOP BRDMNT","Mouser","798-DM3AT-SF-PEJM5","1",,"$2.66","http://www.mouser.com/ds/2/185/e60900232-38395.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=DM3AT-SF-PEJM5virtualkey64550000virtualkey798-DM3AT-SF-PEJM5"
,"47346-0001","Molex","USB Connectors MICRO USB B RECPT BTTM MOUNT ASSY","Mouser","538-47346-0001","1",,"$1.00","/MobileCatalog.aspx?page=1458","","http://www.mouser.com/Search/ProductDetail.aspx?R=47346-0001virtualkey53810000virtualkey538-47346-0001"
,"RN42-I/RM","Roving Networks","Bluetooth / 802.15.1 Modules Class2 Bluetooth Mod v2.0+EDR, w/ Antenna","Mouser","765-RN-42","1",,"$17.65","/MobileCatalog.aspx?page=31","","http://www.mouser.com/ProductDetail/Roving-Networks/RN42-I-RM/?qs=sGAEpiMZZMsGelYiB%252bjhZqarn20KGD8tWEQjYZKXc48%3d"
,"ST2012SB32768H5HPWAA","AVX","Crystals 12.5pF 32.768kHz","Mouser","581-ST2012SB32H5HPWA","1",,"$1.22","/MobileCatalog.aspx?page=1143","","http://www.mouser.com/Search/ProductDetail.aspx?R=ST2012SB32768H5HPWAAvirtualkey58110000virtualkey581-ST2012SB32H5HPWA"
,"KSC941J LFS","C&K Components","Tactile Switches 3.4N J Bend","Mouser","611-KSC941JLFS","1",,"$0.41","/MobileCatalog.aspx?page=1834","","http://www.mouser.com/Search/ProductDetail.aspx?R=KSC941J_LFSvirtualkey61110000virtualkey611-KSC941JLFS"
,"L3GD20","STMicroelectronics","Gyroscopes MEMS 3-Axis GRYO 16-Bit Data 1.8V","Mouser","511-L3GD20","1",,"$6.76","/MobileCatalog.aspx?page=389","","http://www.mouser.com/Search/ProductDetail.aspx?R=L3GD20virtualkey51120000virtualkey511-L3GD20"
,"MAX8819AETI+","Maxim Integrated","PMIC Solutions PMIC w/Charger & Smart Power Selector","Mouser","700-MAX8819AETI","1",,"$9.79","/MobileCatalog.aspx?page=471","","http://www.mouser.com/Search/ProductDetail.aspx?R=MAX8819AETI+virtualkey66880000virtualkey700-MAX8819AETI"
,"LSM303DLHC","STMicroelectronics","Accelerometers - Board Mount E-compass 3D accel & 3D magnetometer mod.","Mouser","511-LSM303DLHC","1",,"$4.89","/MobileCatalog.aspx?page=389","","http://www.mouser.com/Search/ProductDetail.aspx?R=LSM303DLHCvirtualkey51120000virtualkey511-LSM303DLHC"
,"DM3AT-SF-PEJM5","Hirose Connector","Memory Card Connectors R/A SMT MICROSD CON PUSH-PUSH TOP BRDMNT","Mouser","798-DM3AT-SF-PEJM5","1",,"$2.66","http://www.mouser.com/ds/2/185/e60900232-38395.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=DM3AT-SF-PEJM5virtualkey64550000virtualkey798-DM3AT-SF-PEJM5"
,"NR3012T4R7M","Taiyo Yuden","Fixed Inductors WIREWND PWR INDCTR 3X3MM 4.7uH 20%","Mouser","963-NR3012T4R7M","2",,"$0.36","http://www.mouser.com/ds/2/396/wound04_e-8385.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=NR3012T4R7Mvirtualkey57660000virtualkey963-NR3012T4R7M"
,"BCV27","Fairchild Semiconductor","Transistors Darlington SOT23 NPN DARLINGTON","Mouser","512-BCV27","1",,"$0.22","/MobileCatalog.aspx?page=614","","http://www.mouser.com/Search/ProductDetail.aspx?R=BCV27virtualkey51210000virtualkey512-BCV27"
,"GRM188R71H103JA01D","Murata Electronics","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.01uF 50volts X7R 5%","Mouser","81-GRM18R71H103JA01D","1",,"$0.10","http://psearch.murata.com/capacitor/product/GRM188R71H103JA01%23.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=GRM188R71H103JA01Dvirtualkey64800000virtualkey81-GRM18R71H103JA01D"
,"GRM188R71C104MA01D","Murata Electronics","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.1uF 16volts X7R 20%","Mouser","81-GRM18R71C104MA01D","11",,"$0.10","http://psearch.murata.com/capacitor/product/GRM188R71C104MA01%23.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=GRM188R71C104MA01Dvirtualkey64800000virtualkey81-GRM18R71C104MA01D"
,"GRM188R71C224KA01J","Murata Electronics","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.22uF 16Volts X7R 0.1","Mouser","81-GRM188R71C224KA1J","1",,"$0.10","http://psearch.murata.com/capacitor/product/GRM188R71C224KA01%23.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=GRM188R71C224KA01Jvirtualkey64800000virtualkey81-GRM188R71C224KA1J"
,"GRM188R71C105KA12J","Murata Electronics","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.0uF 16Volts 10%","Mouser","81-GRM188R71C105KA2J","2",,"$0.22","http://psearch.murata.com/capacitor/product/GRM188R71C105KA12%23.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=GRM188R71C105KA12Jvirtualkey64800000virtualkey81-GRM188R71C105KA2J"
,"C1608X5R1A106M","TDK","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 20% 10Volts","Mouser","810-C1608X5R1A106M","8",,"$0.55","http://www.tdk.com/pdf/general_B11.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=C1608X5R1A106Mvirtualkey99990000virtualkey810-C1608X5R1A106M"
,"LMK107BJ475KA-T","Taiyo Yuden","Multilayer Ceramic Capacitors MLCC - SMD/SMT CAP MLCC 0603 10V X5R 4.7uF 10%","Mouser","963-LMK107BJ475KA-T","4",,"$0.42","http://www.yuden.co.jp/productdata/catalog/en/mlcc01_e.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=LMK107BJ475KA-Tvirtualkey57660000virtualkey963-LMK107BJ475KA-T"
,"MAX17048G+","Maxim Integrated","Battery Management Host-Side Modelgauge (1-Cell)","Mouser","700-MAX17048G+","1",,"$2.85","http://www.mouser.com/ds/2/256/MAX17048-MAX17049-84443.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=MAX17048G+virtualkey66880000virtualkey700-MAX17048G+"
,"RK73H1HTTC75R0F","KOA Speer","Thick Film Resistors - SMD 75 OHM 1%","Mouser","660-RK73H1HTTC75R0F","2",,"$0.10","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","http://www.mouser.com/ProductDetail/KOA-Speer/RK73H1HTTC75R0F/?qs=sGAEpiMZZMu61qfTUdNhG3K8Owsr9cZwFvUvibbRmu4%3d"
"","RK73H1HTTC2700F","KOA Speer","Thick Film Resistors - SMD 1/20W 270 OHM 1% 200PPM","Mouser","660-RK73H1HTTC2700F","6","","$0.10","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","http://www.mouser.com/ProductDetail/KOA-Speer/RK73H1HTTC2700F/?qs=sGAEpiMZZMu61qfTUdNhG7g5ossnzdo1wpc2GkzPFAU%3d"
,"RK73H1HTTC1001F","KOA Speer","Thick Film Resistors - SMD 1/20W 1K OHM 1% 200PPM","Mouser","660-RK73H1HTTC1001F","1",,"$0.10","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","http://www.mouser.com/ProductDetail/KOA-Speer/RK73H1HTTC1001F/?qs=sGAEpiMZZMu61qfTUdNhG5eFuApKbqVdIJgKxMzQXh0%3d"
,"RK73H1HTTC3001F","KOA Speer","Thick Film Resistors - SMD 3K OHM 1%","Mouser","660-RK73H1HTTC3001F","7",,"$0.10","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","http://www.mouser.com/ProductDetail/KOA-Speer/RK73H1HTTC3001F/?qs=sGAEpiMZZMu61qfTUdNhG1DRFnkvZ9pM8ok017XNrOo%3d"
"","RK73H1HTTC1002F","KOA Speer","Thick Film Resistors - SMD 10K OHM 1%","Mouser","RK73H1HTTC1002F","14","","$0.10","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","http://www.mouser.com/ProductDetail/KOA-Speer/RK73H1HTTC1002F/?qs=sGAEpiMZZMu61qfTUdNhG5eFuApKbqVdblmoggTHn2k%3d"
,"RK73H1HTTC1003F","KOA Speer","Thick Film Resistors - SMD 100K OHM 1%","Mouser","660-RK73H1HTTC1003F","5",,"$0.10","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","http://www.mouser.com/ProductDetail/KOA-Speer/RK73H1HTTC1003F/?qs=sGAEpiMZZMu61qfTUdNhG5eFuApKbqVdO5F23NrpnFQ%3d"
,"RR0816P-2323-D-36D","Susumu","Thin Film Resistors - SMD 1/16W 232Kohm 0.5% 25ppm","Mouser","754-RR0816P-2323D36D","2",,"$0.10","http://www.mouser.com/ds/2/392/products_12-5886.pdf","","http://www.mouser.com/ProductDetail/Susumu/RR0816P-2323-D-36D/?qs=sGAEpiMZZMu61qfTUdNhG%2fDhcyQpRg8MQzSeSCl1TqM%3d"
"","MS561101BA03-50","Measurement Specialties","Altimeter/Barometer, 24 bit accuracy with stainless steel cap","Octopart","MS5611-01BA03","1","","$8.70","","Purchase from servoflo.com","http://octopart.com/ms561101ba03-50-measurement+specialties-29747675"
"","PA6H","GlobalTop","GPS","Adafruit","790","1","","$29.95","","","http://www.adafruit.com/products/790"
,"HT-F195TW-5497","Harvatek International","Standard LEDs - SMD White InGaN 160mcd 20mA","Mouser","743-HT-F195TW","1",,"$0.52","/MobileCatalog.aspx?page=2375","","http://www.mouser.com/ProductDetail/Harvatek-International/HT-F195TW-5497/?qs=sGAEpiMZZMseGfSY3csMkfueAjHpt4BBKocHdKBjHEs%3d"
,"HT-F195NG-5501","Harvatek International","Standard LEDs - SMD True Green 527nm 250mcd 20mA","Mouser","743-HT-F195NG","1",,"$0.35","/MobileCatalog.aspx?page=2375","","http://www.mouser.com/ProductDetail/Harvatek-International/HT-F195NG-5501/?qs=sGAEpiMZZMseGfSY3csMkfueAjHpt4BB%2f2UukV7kdEc%3d"
"","HT-F195USD-5498","Harvatek International","Standard LEDs - SMD Bright Red 636nm 120nm 20mA","Mouser","743-HT-F195USD","2","","$0.24","/MobileCatalog.aspx?page=2375","","http://www.mouser.com/ProductDetail/Harvatek-International/HT-F195USD-5498/?qs=sGAEpiMZZMseGfSY3csMkfueAjHpt4BBJgdmRIVaBcs%3d"
,"HT-F195NB-5496","Harvatek International","Standard LEDs - SMD Blue 468nm 90mcd 20mA","Mouser","743-HT-F195NB","2",,"$0.35","/MobileCatalog.aspx?page=2375","","http://www.mouser.com/ProductDetail/Harvatek-International/HT-F195NB-5496/?qs=sGAEpiMZZMseGfSY3csMkfueAjHpt4BB09JIvAwGAhg%3d"
,"GRM188R60G226MEA0L","Murata Electronics","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 X5R 4V 22uF","Mouser","81-GRM188R60G226ME0L","1",,"$0.44","/MobileCatalog.aspx?page=1002","","http://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R60G226MEA0L/?qs=sGAEpiMZZMvQvaS66kI3TiL2z1DiIIRqddHpDEfTZvw%3d"
,"","","Polymer Lithium Ion Battery - 1000mAh","Sparkfun","PRT-00339","1",,"$11.95","","","https://www.sparkfun.com/products/339"